Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id #blandit,2.00297E+15,2020-06-29 17:52 +0000,280,5,0.017857143,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0
dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est #et,9.20328E+15,2020-06-29 15:00 +0000,2739,50,0.018254838,3,1,10,3,0,0,11,0,0,0,0,0,0,820,22
potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum #sed,2.94902E+15,2020-06-29 14:43 +0000,121,4,0.033057851,0,0,4,0,0,0,0,0,0,0,0,0,0,31,0
odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas #quis,9.54712E+15,2020-06-29 13:46 +0000,234,2,0.008547009,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo #quis,4.95689E+14,2020-06-29 12:40 +0000,1195,41,0.034309623,4,0,8,2,9,1,8,0,0,0,0,0,0,9,9
mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #volutpat,1.79355E+15,2020-06-29 11:35 +0000,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit #vivamus,6.06674E+15,2020-06-29 01:56 +0000,319,10,0.031347962,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0
quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci #tempor,7.16822E+14,2020-06-29 00:46 +0000,320,7,0.021875,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0
lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in #aenean,8.53857E+15,2020-06-28 22:42 +0000,134,8,0.059701493,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id #eros,7.32405E+15,2020-06-28 20:55 +0000,153,2,0.013071895,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in #sodales,2.80595E+15,2020-06-28 17:47 +0000,1925,239,0.124155844,3,1,10,1,1,0,23,0,0,0,0,0,0,200,200
quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas #lacinia,6.71183E+15,2020-06-28 15:44 +0000,257,1,0.003891051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse #primis,9.97816E+15,2020-06-28 15:30 +0000,325,6,0.018461538,0,0,4,0,0,0,0,0,0,0,0,0,0,73,2
felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis #a,6.21732E+15,2020-06-28 15:19 +0000,765,11,0.014379085,0,1,5,1,0,0,4,0,0,0,0,0,0,110,0
curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna #vel,8.23182E+15,2020-06-27 19:01 +0000,236,14,0.059322034,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0
sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl #orci,9.57082E+15,2020-06-27 17:55 +0000,151,2,0.013245033,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #nulla,3.80002E+14,2020-06-27 15:32 +0000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar #curabitur,4.42537E+15,2020-06-27 15:05 +0000,287,12,0.041811847,0,0,5,0,0,0,6,0,0,0,0,0,0,38,1
dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes #placerat,8.20992E+15,2020-06-27 14:16 +0000,22,2,0.090909091,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et #cras,3.13398E+15,2020-06-27 01:31 +0000,2408,40,0.016611296,0,2,15,2,0,0,21,0,0,0,0,0,0,0,0
vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat #amet,2.14126E+15,2020-06-26 21:43 +0000,551,1,0.001814882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi #quam,9.20799E+15,2020-06-26 21:42 +0000,225,8,0.035555556,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0
metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #non,8.46252E+15,2020-06-26 21:35 +0000,171,5,0.029239766,0,1,1,0,0,0,1,0,0,0,0,0,0,47,2
maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper #sem,2.52898E+15,2020-06-26 21:26 +0000,110,7,0.063636364,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0
nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque #velit,6.88851E+15,2020-06-26 20:59 +0000,866,194,0.224018476,0,0,18,2,1,0,13,0,0,0,0,0,0,160,160
nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor #posuere,3.65142E+15,2020-06-26 20:03 +0000,11496,1065,0.092640919,1,6,37,37,4,4,78,0,0,0,0,0,0,898,898
mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #donec,5.7281E+15,2020-06-26 19:32 +0000,1073,91,0.084808947,0,0,12,3,15,3,1,0,0,0,0,0,0,57,57
felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet #mi,8.76868E+15,2020-06-26 18:46 +0000,276,4,0.014492754,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo #cum,3.42503E+14,2020-06-26 18:08 +0000,56,3,0.053571429,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non #a,2.37451E+15,2020-06-26 17:51 +0000,131,4,0.030534351,0,0,1,0,0,0,0,0,0,0,0,0,0,27,3
donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce #vestibulum,9.16961E+15,2020-06-26 17:35 +0000,161,4,0.02484472,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient #ante,3.95915E+15,2020-06-26 14:38 +0000,316,8,0.025316456,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0
etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla #quis,9.0909E+15,2020-06-25 17:43 +0000,449,9,0.020044543,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0
bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris #sed,4.15024E+15,2020-06-25 16:55 +0000,1244,38,0.030546624,1,3,4,4,0,2,21,0,0,0,0,0,0,236,3
lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac #tempor,2.33825E+15,2020-06-25 13:27 +0000,329,7,0.021276596,0,0,2,0,0,0,3,0,0,0,0,0,0,47,2
turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est #sit,2.05997E+15,2020-06-25 13:25 +0000,381,18,0.047244094,0,0,1,1,14,0,2,0,0,0,0,0,0,0,0
proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere #neque,9.76524E+15,2020-06-25 13:20 +0000,308,2,0.006493506,0,0,1,1,0,0,0,0,0,0,0,0,0,77,0
congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque #nec,6.09805E+15,2020-06-24 20:49 +0000,117,3,0.025641026,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna #odio,1.29718E+15,2020-06-24 19:51 +0000,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu #pellentesque,1.16047E+15,2020-06-24 18:45 +0000,307,12,0.039087948,0,2,2,1,1,0,6,0,0,0,0,0,0,102,0
tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis #mauris,7.71522E+15,2020-06-24 18:39 +0000,477,6,0.012578616,0,0,2,1,0,0,1,0,0,0,0,0,0,194,2
tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu #malesuada,7.8358E+14,2020-06-24 18:23 +0000,585,13,0.022222222,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0
ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat #tellus,3.00497E+15,2020-06-24 18:23 +0000,1592,217,0.136306533,1,3,3,2,0,0,80,0,0,0,0,0,0,128,128
scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis #ligula,5.60693E+15,2020-06-24 17:14 +0000,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #suscipit,5.03363E+15,2020-06-24 15:02 +0000,870,3,0.003448276,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus #elit,8.96116E+15,2020-06-24 13:23 +0000,171,6,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6
sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum #maecenas,6.86197E+15,2020-06-24 12:00 +0000,537,9,0.016759777,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0
consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in #tortor,8.33862E+13,2020-06-23 17:23 +0000,206,2,0.009708738,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor #ipsum,4.6363E+14,2020-06-23 16:05 +0000,551,3,0.005444646,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus #ut,7.86616E+15,2020-06-23 15:15 +0000,1140,14,0.012280702,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0
lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl #elit,5.07121E+15,2020-06-23 15:14 +0000,197,4,0.020304569,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium #odio,4.96467E+15,2020-06-23 14:50 +0000,833,33,0.039615846,1,1,0,4,0,0,11,0,0,0,0,0,0,0,0
velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed #luctus,3.86049E+15,2020-06-23 12:18 +0000,1082,15,0.013863216,0,4,3,2,0,0,6,0,0,0,0,0,0,160,0
vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient #risus,6.56033E+15,2020-06-22 20:52 +0000,1179,9,0.007633588,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0
amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus #nisi,7.55344E+15,2020-06-22 18:40 +0000,883,12,0.013590034,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0
phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula #venenatis,3.96792E+15,2020-06-22 18:03 +0000,91,1,0.010989011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a #nulla,4.24392E+15,2020-06-22 18:01 +0000,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque #morbi,3.03679E+15,2020-06-22 14:44 +0000,1731,4,0.002310803,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac #eget,2.60754E+14,2020-06-22 14:03 +0000,496,21,0.04233871,1,2,4,0,12,0,2,0,0,0,0,0,0,0,0
sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus #quisque,9.57372E+15,2020-06-22 13:52 +0000,166,1,0.006024096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam #tempus,7.5159E+15,2020-06-22 13:45 +0000,113,9,0.079646018,0,1,0,2,0,0,0,0,0,0,0,0,0,6,6
